match_id,sum_predicted_points_predicted_team,sum_predicted_points_actual_team,sum_actual_points_predicted_team,sum_actual_points_actual_team,%error_predicted_actual,%error_predicted_predicted
1385700,571.5690449645687,452.8051444661689,584,1023,42.91300097751711,44.128148097305115
1385701,605.9017348215657,480.1109849817243,472,889,46.9066366704162,31.84457426079126
1385702,559.4382149552807,510.091626381002,490,864,43.28703703703704,35.250206602398066
1385703,614.4141628763641,497.3330066424031,513,825,37.81818181818182,25.52555601498617
1385704,549.3412757274542,465.4192217930025,528,885,40.33898305084746,37.92753946582438
1398276,499.3097671448558,469.39409513510566,585,774,24.418604651162788,35.489694167331294
1415080,640.9695685812815,501.26110485479046,642,885,27.45762711864407,27.574060047312827
1415081,506.8577037673417,328.79305359403133,482,1080,55.37037037037037,53.06873113265355
1415082,497.80372031637074,402.2006922511986,686,987,30.49645390070922,49.56395944109719
1415083,539.8587794865118,353.7110015681933,492,961,48.80332986472424,43.82322794104976
1415084,624.6973722559411,462.6658388812321,383,790,51.518987341772146,20.92438325874163
1415085,604.911114783599,520.7692902386968,673,843,20.166073546856463,28.243046882135346
1415086,535.2910900753416,463.8848258490964,566,850,33.411764705882355,37.02457763819511
1415087,583.1449922639944,514.9268177190796,792,1025,22.731707317073173,43.10780563278104
1415088,678.2674674370282,518.2231402197718,679,934,27.301927194860813,27.38035680545736
1415089,628.1414565433146,527.5472758432256,445,538,17.286245353159853,16.7549175731068
1415090,547.9516559997165,454.5551112644888,597,746,19.973190348525467,26.548035388777947
1415091,667.2226147245958,576.3531125959715,547,817,33.047735618115055,18.332605296867097
1415092,636.8892230791073,518.9578417435574,620,784,20.918367346938776,18.76412970929754
1415093,533.675835185848,376.5098974515896,382,858,55.47785547785548,37.800019209108626
1415094,545.7823164302301,419.0083991144816,592,962,38.46153846153847,43.26587147294905
1415095,538.5330044872051,457.9881520280162,622,949,34.45732349841939,43.25258119207533
1415096,571.7823646058747,517.8942931444673,710,915,22.404371584699454,37.510124086789645
1415097,574.8902561689076,502.3196314657922,371,551,32.66787658802178,4.3357996676783355
1415098,661.2238722977678,572.7565399930353,584,742,21.293800539083556,10.88627057981566
1415099,550.9393868980219,428.9065127904919,588,956,38.49372384937239,42.37035701903537
1415100,530.4071343841174,479.09070645833054,844,1081,21.924144310823312,50.93366009397619
1415101,653.0322637778281,522.4548785584302,379,550,31.09090909090909,18.733138868696024
1415102,569.491954032994,502.7786019766872,620,858,27.73892773892774,33.62564638310093
1415103,618.2996733814188,493.60134779824693,315,757,58.388375165125495,18.32236811341892
1415104,551.9576306825439,459.16290017207064,687,911,24.588364434687158,39.41189564406763
1415105,615.2864644614207,484.5654844776049,555,946,41.33192389006343,34.95914751993439
1415106,559.9571782107229,447.6009706616534,610,793,23.076923076923077,29.387493289946676
1415107,627.7758873668192,485.3809950334383,509,898,43.318485523385306,30.091772008149302
1415108,577.1935187754043,550.3641247156564,712,887,19.729425028184895,34.92744996895104
1415109,604.221426192219,530.5335478397946,642,855,24.912280701754387,29.33082734593929
1415110,635.7763163104537,447.3179877383667,542,826,34.38256658595641,23.029501657330062
1415111,499.4949278336194,379.3946120710525,559,1035,45.99033816425121,51.7396204991672
1415112,572.6834053988034,510.4014662535057,696,862,19.25754060324826,33.56341004654252
1415113,564.0767915162703,551.0185569439764,765,798,4.135338345864661,29.313685273650336
1415114,623.0933564632398,503.34078822554744,419,671,37.5558867362146,7.139589200709412
1415115,670.1693332909147,503.62662135031167,624,943,33.828207847295864,28.9322021960854
1415116,597.8607667762622,511.91821714851494,649,1001,35.16483516483517,40.27364967270108
1415117,572.1204967324505,474.7237037292628,811,957,15.256008359456635,40.21729396735104
1415118,572.3929273518861,464.2564053655808,472,951,50.36803364879074,39.81146925847675
1415119,603.1942532061746,497.1298973262286,915,1084,15.59040590405904,44.35477368946729
1415120,618.8944677079866,447.6826924545642,681,1157,41.14088159031979,46.50868904857506
1415122,562.8528115802183,498.94944391809474,724,946,23.46723044397463,40.501816957693634
1415123,599.9141795720409,496.2225899007177,606,847,28.45336481700118,29.171879625496942
1415124,582.079694840598,483.9626318840381,546,931,41.35338345864661,37.47801344354479
1415125,714.5377661489878,592.179669925678,558,643,13.21928460342146,11.125624595487988
1415126,642.8560248605335,570.9930778067122,592,970,38.96907216494846,33.726183004068716
1415127,554.9383687998859,458.41986593126023,363,590,38.474576271186436,5.942649355951544
1415128,509.75796104810826,399.74140427102384,563,833,32.41296518607443,38.80456650082734
1415129,641.6476962532624,441.1628849159684,233,338,31.06508875739645,89.83659652463386
1415130,585.3817306168916,512.6855485779328,436,624,30.128205128205128,6.188825221651994
1415131,607.5160395720786,529.734630523321,565,787,28.208386277001267,22.806094082328002
1415132,607.0062561108587,579.6580814820917,725,767,5.475880052151238,20.859679776941505
1415133,639.614173061422,531.0184730481792,574,943,39.130434782608695,32.17241006771771
1415134,661.4439957708612,555.7896631556313,631,922,31.56182212581345,28.25987030684803
1415135,608.2666983340271,472.26298349297616,419,979,57.201225740551585,37.86857013952737
1415136,606.6980006150482,497.8241621576932,583,1058,44.896030245746694,42.656143609163685
1415137,574.9584601260622,501.45069502489815,281,601,53.244592346089846,4.333034920788325
1415138,555.6051371812864,489.5276665023473,630,857,26.487747957992998,35.16859542808793
1415139,655.1745580413681,555.8663031383915,471,609,22.660098522167488,7.582029235035809
1415140,541.8231497857322,519.5796136217895,844,1048,19.46564885496183,48.299317768537
1415141,634.4078418896593,533.7216650471555,469,776,39.56185567010309,18.246412127621227
1415142,672.6307718991479,578.2288554548663,511,818,37.530562347188265,17.77129927883277
1415143,565.5432590916878,448.8762085571298,467,920,49.23913043478261,38.52790662046872
1415144,600.0000319391434,559.3414841967717,597,833,28.331332533013203,27.97118464115926
1415145,608.5614649294697,449.6786126392654,245,505,51.48514851485149,20.507220778112814
1415146,587.2770402501866,483.0300673767978,577,897,35.67447045707915,34.52875805460573
1415147,570.9485780666421,444.2557134214421,627,947,33.7909186906019,39.70975944386039
1415148,626.2494715771236,490.1983030112441,537,873,38.48797250859107,28.26466534053567
1415149,596.6507516737845,468.56562907277544,550,736,25.271739130434785,18.933321783453195
1415150,566.7322272667896,494.0046788302923,603,767,21.38200782268579,26.110530995203447
1415151,551.2090824817278,477.4694379420701,556,679,18.114874815905743,18.820459133766153
1415152,610.7961795442247,507.1058690406135,612,920,33.47826086956522,33.60911091910601
1415153,603.6863233922552,566.7484327501603,715,979,26.96629213483146,38.33643274849283
1415154,604.0568802611255,555.0396655250022,729,953,23.504721930745013,36.61522767459334
1415155,571.7425475081384,513.448897917581,771,937,17.716115261472787,38.98158511119121
1415156,574.8241875127577,407.2409014669617,344,648,46.913580246913575,11.292563655438626
1426549,637.1711454384093,486.84760826453766,599,790,24.17721518987342,19.34542462804945
1426550,592.7169003953529,490.6064491602188,466,678,31.268436578171094,12.578628260272431
1426551,544.9085279487451,452.122515078163,434,593,26.812816188870155,8.109860379638258
1427834,516.2566473979347,436.84509795442074,657,962,31.704781704781702,46.33506783805253
1427835,508.9368209019891,459.34317933533765,407,595,31.596638655462183,14.46439984840519
1427836,499.0684567497185,390.44199190926827,0,25,100.0,1896.273826998874
1427837,461.8601443609265,420.2802412402426,740,951,22.187171398527866,51.43426452566493
1427838,446.3255585056774,388.6895535022335,209,663,68.47662141779789,32.68091123594609
1427839,539.7633450513305,475.0100208557459,467,611,23.567921440261866,11.659026996508924
1427840,539.5390014298048,475.65316344890795,511,714,28.431372549019606,24.434313525237425
1427841,538.502405170919,440.39791641313,360,573,37.17277486910995,6.020522657780276
1427842,470.5888532084353,413.5475827149405,651,862,24.477958236658935,45.40732561387061
1427843,506.8615301352262,445.4588615585161,161,407,60.44226044226044,24.536002490227567
1427844,586.9690166432814,514.1380396186726,639,909,29.7029702970297,35.42695086432548
1427846,573.4494158620024,412.3840264762257,457,858,46.73659673659674,33.164403745687366
1427847,531.7560270737379,405.7506327039047,383,836,54.186602870813395,36.392819728021784
1427848,458.42554086171657,398.9016814799628,559,732,23.633879781420767,37.37355999156877
1427849,506.31768989025954,454.2895943946267,617,742,16.846361185983827,31.763114570045886
1427850,476.5597696839392,431.806967129883,426,722,40.99722991689751,33.99449173352643
1427851,461.8226739177849,364.3357346809725,540,830,34.93975903614458,44.35871398580905
1427852,516.7144313264916,451.25973241388726,600,833,27.971188475390157,37.96945602323029
1427853,486.7465745037604,421.9540983834216,590,991,40.46417759838547,50.883292179237095
1427854,514.955033768453,413.0737172101516,499,829,39.806996381182145,37.88238434638686
1427855,486.5912641958623,443.5782249792409,705,786,10.305343511450381,38.09271447889792
1427856,400.73682406034385,350.79149494715455,828,1002,17.365269461077844,60.006304983997616
1427857,475.44659944789953,462.6375170704829,655,873,24.971363115693013,45.538762949839686
1427858,534.6800822412945,435.08538663413174,424,675,37.18518518518519,20.788135964252668
1427859,493.94070428361533,451.7723747795867,523,802,34.78802992518703,38.411383505783625
1427860,609.0596626088789,350.59176143460104,208,491,57.63747454175153,24.04473780221565
1427861,539.8623473518481,472.17924035919987,641,741,13.49527665317139,27.144082678563002
1427862,543.98121986003,492.134851546998,459,684,32.89473684210527,20.470581891808475
1427863,508.59019532772584,462.1918265935517,523,770,32.077922077922075,33.94932528211353
1427864,542.8401884531722,428.8955853273121,421,651,35.33026113671275,16.6144103758568
1428956,465.217218602766,333.6807446199242,358,587,39.01192504258944,20.746640783174442
1428957,514.8515059406807,428.6331632213131,519,714,27.310924369747898,27.89194594668338
1428958,530.0120711715525,478.0577927812892,800,1009,20.713577799801783,47.471548942363476
1428959,524.263531365074,393.7117519024915,244,541,54.89833641404805,3.0936171229068465
1428960,582.1567359143535,401.7960354056379,348,701,50.35663338088445,16.9533900264831
1428961,541.2283753725521,460.414607066662,513,901,43.06326304106548,39.93025800526613
1429575,636.7842715195304,481.96874697545854,580,856,32.242990654205606,25.60931407482121
1429577,527.924771999883,415.0497054064032,482,913,47.20700985761227,42.17691434831512
1429578,579.2014669376742,509.63535666811345,427,642,33.48909657320872,9.78170296920962
1429579,574.8610125953063,392.94929484657973,827,1040,20.48076923076923,44.7249026350667
1429580,467.63207519360947,364.0382509427566,557,723,22.959889349930844,35.320598175157755
1430814,478.00217408435,365.06126239658863,414,900,54.0,46.888647323961116
1430815,538.0626931092054,456.0475028175263,593,889,33.29583802024747,39.47551258614113
1430816,627.8789760015129,533.9110774725774,493,606,18.646864686468646,3.6103920794575757
1430817,534.4570279318203,440.2540410313545,652,781,16.51728553137004,31.567602057385358
1430818,544.5382063139325,483.02783142269953,468,867,46.02076124567474,37.19282510796626
1430819,592.4094722805255,480.3155698065379,508,742,31.536388140161726,20.160448479713544
1431088,493.91727655322194,350.63489070850835,575,980,41.3265306122449,49.60027790273245
1431089,543.3623013928677,482.31425270478394,635,835,23.952095808383234,34.92667049187213
1431090,591.6018674364614,484.0587095828285,631,960,34.270833333333336,38.3748054753686
1433370,635.2204857676332,499.6412563861062,365,690,47.10144927536232,7.93906003367634
1433371,588.6637032236729,520.3614476673151,722,1005,28.1592039800995,41.426497191674336
1433372,558.3025795892058,447.2582206464696,372,853,56.38921453692849,34.54834940337563
1442990,767.3751964161946,622.3724397485371,759,921,17.58957654723127,16.68021754438712
1442991,720.4141057680324,537.6431783369492,429,906,52.64900662251656,20.48409428608914
1442992,665.0142517211929,497.6177680199808,539,872,38.18807339449541,23.736897738395314
1444543,441.4956971599967,356.17764620772334,463,694,33.28530259365994,36.383905308357825
1444544,434.67546539216823,322.813596481673,730,835,12.574850299401197,47.943058036866084
1444545,489.9826172238619,444.0970353551589,694,737,5.834464043419267,33.51660553271888
1444546,476.47186708165736,381.6084333468897,547,837,34.64755077658304,43.0738510057757
1444547,552.0077025471244,480.9741910375728,543,733,25.92087312414734,24.691991466968023
1444548,557.4874190297953,505.6737555390644,603,765,21.176470588235293,27.125827577804536
1445034,472.1556374513304,419.29041430504776,505,801,36.95380774032459,41.054227534165996
1445035,527.6501229233168,411.2413406940301,558,949,41.20126448893572,44.399354802600975
1445036,512.0281048418651,418.6994735770503,560,828,32.367149758454104,38.160856903156386
1445037,559.47236333332,497.8255228480083,630,884,28.733031674208142,36.71127111614027
1445038,514.3066103997198,439.8735025000919,524,882,40.58956916099773,41.68859292520183
1445039,531.7557183997372,492.5498614329462,649,759,14.492753623188406,29.939958050100497
1450690,558.6540384863854,511.68108631867744,597,726,17.768595041322314,23.05040792198548
1450691,537.9476467870456,453.9469259371135,326,550,40.72727272727273,2.191336947809883
1450692,494.5224871749394,430.4312879085487,773,1165,33.648068669527895,57.55171783906099
1450693,587.8385352955158,487.6397332350935,680,911,25.356750823271128,35.47326725625512
1450694,627.1123704850199,542.9442468841011,709,1010,29.801980198019802,37.90966628861189
1450695,545.7259140825432,409.6349262468922,425,761,44.15243101182654,28.288316152096815
1450696,475.2906061234865,326.10853446855765,531,791,32.86978508217446,39.91269201978679
1450697,405.25941258241176,369.95686588055975,658,880,25.227272727272727,53.94779402472594
1450698,525.5246682335372,476.74362467821936,828,924,10.38961038961039,43.12503590546134
1450699,602.7704585879743,570.8131145469122,530,770,31.16883116883117,21.71812226130204
1450701,621.0784758142293,440.15154073776273,435,728,40.24725274725275,14.687022552990486
1450702,487.69157608400207,391.03502859010246,324,643,49.61119751166407,24.153720671228296
1450703,482.67245136110705,398.0158441217369,641,997,35.70712136409227,51.58751741613771
1450704,538.4189835882592,430.4960876158161,487,698,30.229226361031518,22.862609801109006
1450705,606.36501375525,453.3888982331099,715,958,25.36534446764092,36.70511338671712
1450706,631.8563881831531,551.2498015359545,613,873,29.782359679266897,27.6224068518725
1450707,614.9822091091785,529.1534235518476,49,60,18.333333333333332,924.9703485152974
1451775,399.325096830016,195.30285971352856,659,1198,44.99165275459098,66.66735418781168
1451776,487.3340177473381,400.66411822617533,678,853,20.5158264947245,42.86822769667783
1451777,479.8500293425227,263.72674778777963,497,1050,52.666666666666664,54.29999720547403
1451778,415.43672591626137,311.5800278272351,487,616,20.941558441558442,32.558973065541984
1451779,489.9281072556614,463.38383556963504,473,574,17.59581881533101,14.646671209815084
1451780,519.890048182561,412.5109244357999,540,753,28.286852589641438,30.95749692130664
1451781,568.823912018226,407.3059883856219,492,722,31.855955678670362,21.215524651215237
1451782,602.6070465979308,481.6490660739315,547,895,38.88268156424581,32.669603732074776
1451783,525.2277925284384,446.04580459603943,640,859,25.49476135040745,38.8559030816719
1451784,586.1586389971058,495.09671598745047,860,1013,15.103652517275421,42.136363376396275
1451785,553.7803434673147,387.6445743282519,663,928,28.55603448275862,40.32539402291868
1451786,590.8950658706924,511.23007254604346,446,724,38.39779005524862,18.38465941012536
1451787,585.6679454050384,394.1131681099538,365,502,27.290836653386453,16.66692139542597
1451788,603.9568497517237,528.981097602546,562,877,35.91790193842645,31.133768557386126
1451789,565.0604339710194,465.3458194519544,532,899,40.82313681868743,37.1456691912103
1451817,596.1629440400275,504.5394665922544,560,701,20.114122681883025,14.955357483590944
1451818,611.9377245224887,535.4441677736395,590,829,28.82991556091677,26.18362792249835
1451819,643.3939273891017,437.9708824764273,168,548,69.34306569343066,17.40765098341272
1451893,436.0169919718494,360.6297074543162,444,513,13.450292397660817,15.00643431347965
1451894,316.79777426398766,154.58924817393216,478,794,39.79848866498741,60.10103598690332
1451895,466.6364019483217,348.78543377573635,438,632,30.69620253164557,26.165126273999732
1451896,473.8417505872276,317.3382989351693,558,786,29.00763358778626,39.71479000162499
1451897,534.1679766655647,463.8316200166848,680,886,23.25056433408578,39.71016064722747
1451898,553.7835384028642,453.3383349544349,380,584,34.93150684931507,5.174051643345167
1451899,348.17812601967944,268.2192897303172,387,611,36.661211129296234,43.01503665799027
1451901,468.4151595906173,400.1071658928863,475,669,28.998505231689087,29.982786309324773
1451902,365.87832044333425,251.58209168344172,34,207,83.57487922705315,76.75281180837403
1451903,565.1378196122853,511.3347018596604,580,913,36.473165388828036,38.101005518917276
1454391,479.24863060040474,334.5132468038713,555,787,29.47903430749682,39.104367140990504
1454392,487.82836961243464,402.6366540979023,689,952,27.62605042016807,48.75752420037451
1454393,524.7954592770386,448.7024574922091,611,764,20.026178010471206,31.30949485902636
1455367,425.9118430104503,344.87129645015,500,792,36.868686868686865,46.22325214514517
1455368,460.23376399460176,412.0732673982227,677,810,16.419753086419753,43.181016790789904
1455369,525.7562811178024,358.9240015750839,478,710,32.67605633802817,25.949819560872907
1455370,522.1696192156259,410.7951657529854,317,567,44.091710758377424,7.906592730930184
1455371,492.192555525203,430.32405777846185,433,731,40.766073871409034,32.66859705537579
1456443,474.6069138238185,399.32475236921664,765,913,16.210295728368017,48.016767379647476
1457464,432.18705594936847,269.5697154564928,338,635,46.77165354330708,31.939046307186068
1457465,514.7482024134181,447.30440547752863,595,860,30.813953488372093,40.14555785890487
1457466,598.3717197500104,424.2455943368024,389,633,38.54660347551343,5.470502409161082
1457467,495.6822395121339,440.6458902208782,484,651,25.65284178187404,23.858334944372675
1457468,538.3997433011372,488.3021038604079,641,806,20.471464019851116,33.201024404325416
1457469,561.1137805465269,419.09824455005025,594,822,27.73722627737226,31.73798290188238
